step,position,accept_length,tokens_this_step,accepted_text,head0_accepted,head1_accepted,head2_accepted,head3_accepted
167,821,1,2,5,1,0,0,0
168,823,1,2,/5,1,0,0,0
169,825,3,4,Ratchadam,1,1,1,0
170,829,2,3,noen R,1,1,0,0
171,832,4,5,d Soi 5,1,1,1,1
172,837,4,5,", Tambon Si Ph",1,1,1,1
173,842,4,5,"um, Amphoe",1,1,1,1
174,847,4,5,Mueang Chiang,1,1,1,1
175,852,4,5,"Mai, Chang Wat",1,1,1,1
176,857,4,5,Chiang Mai 5,1,1,1,1
177,862,4,5,"0200,",1,1,1,1
178,867,4,5,Thailand. Rank in,1,1,1,1
179,872,4,5,Google: 4.,1,1,1,1
180,877,4,5,4.\n\nDay,1,1,1,1
181,882,4,5,2:\n\n,1,1,1,1
182,887,2,3,1. Do,1,1,0,0
183,890,3,4,i Inthanon,1,1,1,0
184,894,4,5,National Park - This national,1,1,1,1
185,899,3,4,park is home to,1,1,1,0
186,903,2,3,Thailand',1,1,0,0
187,906,1,2,s highest,1,0,0,0
188,908,1,2,peak and,1,0,0,0
189,910,2,3,offers hik,1,1,0,0
190,913,4,5,"ing trails, water",1,1,1,1
191,918,4,5,"falls, and scenic",1,1,1,1
192,923,3,4,views. Address:,1,1,1,0
193,927,0,1,Ban,0,0,0,0
194,928,2,3,"Luang,",1,1,0,0
195,931,2,3,Chom Th,1,1,0,0
196,934,2,3,"ong District,",1,1,0,0
197,937,4,5,Chiang Mai 5,1,1,1,1
198,942,1,2,01,1,0,0,0
199,944,4,5,"60, Thailand",1,1,1,1
200,949,4,5,. Rank in Google:,1,1,1,1
201,954,3,4,4.8,1,1,1,0
202,958,4,5,. Opening Hours,1,1,1,1
203,963,3,4,: 6:,1,1,1,0
204,967,4,5,00 AM - ,1,1,1,1
205,972,4,5,6:00 PM,1,1,1,1
206,977,4,5,. Entry price for an,1,1,1,1
207,982,4,5,adult: 30,1,1,1,1
208,987,4,5,"0 THB, child",1,1,1,1
209,992,4,5,: 150,1,1,1,1
210,997,4,5,THB.\n2,1,1,1,1
211,1002,3,4,. Mae Sa,1,1,1,0
212,1006,3,4,Waterfall - This,1,1,1,0
213,1010,4,5,waterfall is a popular,1,1,1,1
214,1015,3,4,spot for swimming,1,1,1,0
215,1019,2,3,and offers a,1,1,0,0
216,1022,3,4,scenic hike,1,1,1,0
217,1026,2,3,to the top,1,1,0,0
218,1029,3,4,. Address: Ma,1,1,1,0
219,1033,3,4,"e Rim,",1,1,1,0
220,1037,3,4,Chiang Mai ,1,1,1,0
221,1041,3,4,5018,1,1,1,0
222,1045,3,4,"0, Thailand",1,1,1,0
223,1049,4,5,. Rank in Google:,1,1,1,1
224,1054,3,4,4.5,1,1,1,0
225,1058,3,4,. Opening H,1,1,1,0
226,1062,4,5,ours: 8:,1,1,1,1
227,1067,4,5,00 AM - ,1,1,1,1
228,1072,4,5,5:00 PM,1,1,1,1
229,1077,4,5,. Entry price for an,1,1,1,1
230,1082,3,4,adult: 1,1,1,1,0
231,1086,4,5,"00 THB,",1,1,1,1
232,1091,3,4,child: 5,1,1,1,0
233,1095,4,5,0 THB.\n,1,1,1,1
234,1100,4,5,3. Lunch at,1,1,1,1
235,1105,2,3,The Salad,1,1,0,0
236,1108,4,5,Concept - This restaurant,1,1,1,1
237,1113,3,4,serves a variety of,1,1,1,0
238,1117,3,4,healthy salads,1,1,1,0
239,1121,2,3,and wraps,1,1,0,0
240,1124,3,4,. Recommended,1,1,1,0
241,1128,2,3,dishes:,1,1,0,0
242,1131,0,1,k,0,0,0,0
243,1132,3,4,"ale salad,",1,1,1,0
244,1136,3,4,chicken caesar,1,1,1,0
245,1140,3,4,"salad, qu",1,1,1,0
246,1144,4,5,inoa salad.,1,1,1,1
247,1149,4,5,Address: 14,1,1,1,1
248,1154,0,1,N,0,0,0,0
249,1155,0,1,im,0,0,0,0
250,1156,0,1,mana,0,0,0,0
251,1157,0,1,Ha,0,0,0,0
252,1158,0,1,</s>,0,0,0,0
